sample_id,combo,camera_source,motion_source,camera_focal_l1_mean,camera_principal_l1_mean,camera_rotation_deg_max,camera_rotation_deg_mean,camera_translation_l2_max,camera_translation_l2_mean,joint_velocity_l2_mean,mpjpe_max,mpjpe_mean,num_frames,projection_onscreen_fraction,projection_positive_depth_fraction,projection_visible_fraction,projection_xy_l2_mean_px,projection_xy_l2_visible_mean_px,rifke_l1_mean,rifke_l2_frame_mean,root_joint_l2_max,root_joint_l2_mean,root_velocity_l2_mean
2016_DkVjSKOdczM_00019_000_a,vae_camera+vae_motion,vae,vae,0.0,0.0,4.094620704650879,0.6388312578201294,0.27356037497520447,0.00722774863243103,0.008379592560231686,0.4527437388896942,0.2138003557920456,74,0.23095823095823095,1.0,1.0,125.40353393554688,125.40353393554688,0.0155637226998806,0.3119411766529083,0.33536496758461,0.19925226271152496,0.007560413796454668
2016_DkVjSKOdczM_00019_000_a,pulp_camera+gt_motion,pulp,gt,12.516443252563477,0.0,4.482443809509277,0.6161682605743408,0.10034806281328201,0.05581382289528847,0.0,0.0,0.0,74,0.30282555282555285,1.0,1.0,21.36333465576172,21.36333465576172,0.0,0.0,0.0,0.0,0.0
2016_DkVjSKOdczM_00019_000_a,gt_camera+pulp_motion,gt,pulp,0.0,0.0,0.0,0.0,0.0,0.0,0.004732111934572458,0.1264495700597763,0.022656148299574852,74,0.3286240786240786,1.0,1.0,11.004878044128418,11.004878044128418,0.01375593338161707,0.3981669843196869,0.037222716957330704,0.021106725558638573,0.0027468788903206587
2016_DkVjSKOdczM_00019_000_a,pulp_camera+pulp_motion,pulp,pulp,12.516443252563477,0.0,4.482443809509277,0.6161682605743408,0.10034806281328201,0.05581382289528847,0.004732111934572458,0.1264495700597763,0.022656148299574852,74,0.30773955773955775,1.0,1.0,18.649866104125977,18.649866104125977,0.01375593338161707,0.3981669843196869,0.037222716957330704,0.021106725558638573,0.0027468788903206587
2017_hK62U-Gm_hI_00008_000_a,gt_camera+gt_motion,gt,gt,0.0,0.0,0.03956468030810356,0.007036359049379826,0.0,0.0,0.0,0.0,0.0,99,0.546831955922865,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017_hK62U-Gm_hI_00008_000_a,vae_camera+gt_motion,vae,gt,0.0,0.0,9.789705276489258,7.495584011077881,1.2356230020523071,0.05297889560461044,0.0,0.0,0.0,99,0.4164370982552801,1.0,1.0,91.02424621582031,91.02424621582031,0.0,0.0,0.0,0.0,0.0
2017_hK62U-Gm_hI_00008_000_a,gt_camera+vae_motion,gt,vae,0.0,0.0,0.03956468030810356,0.007036359049379826,0.0,0.0,0.030443372204899788,2.352724075317383,0.812251627445221,99,0.6919191919191919,1.0,1.0,161.24208068847656,161.24208068847656,0.02098214440047741,0.45654022693634033,2.0881388187408447,0.8127784132957458,0.028726408258080482
2017_hK62U-Gm_hI_00008_000_a,vae_camera+vae_motion,vae,vae,0.0,0.0,9.789705276489258,7.495584011077881,1.2356230020523071,0.05297889560461044,0.030443372204899788,2.352724075317383,0.812251627445221,99,0.6505968778696052,1.0,1.0,172.9635772705078,172.9635772705078,0.02098214440047741,0.45654022693634033,2.0881388187408447,0.8127784132957458,0.028726408258080482
2017_hK62U-Gm_hI_00008_000_a,pulp_camera+gt_motion,pulp,gt,35.87584686279297,0.0,7.20769739151001,4.26633882522583,0.2741701304912567,0.16135865449905396,0.0,0.0,0.0,99,0.519742883379247,1.0,1.0,114.13395690917969,114.13395690917969,0.0,0.0,0.0,0.0,0.0
2017_hK62U-Gm_hI_00008_000_a,gt_camera+pulp_motion,gt,pulp,0.0,0.0,0.03956468030810356,0.007036359049379826,0.0,0.0,0.01696355827152729,0.8155524134635925,0.1865820735692978,99,0.4857667584940312,1.0,1.0,77.31079864501953,77.31079864501953,0.021013405174016953,0.6727368235588074,0.7083773016929626,0.188431978225708,0.014045278541743755
