baseline,family,layer,fid_metric,fid,top1,top2,top3,matching,diversity,multimodality,metrics_summary
MotionCLR,CFG_SA,15,FID,0.2226,0.4366,0.6397,0.7478,3.4111,8.4871,2.4147,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/cfg_sa/layer_15/metrics_summary.json
MotionCLR,CFG_SA,16,FID,0.1265,0.4437,0.644,0.7565,3.418,8.469,2.3581,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/cfg_sa/layer_16/metrics_summary.json
MotionCLR,CFG_SA,17,FID,0.1262,0.4425,0.644,0.7565,3.419,8.4668,2.3578,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/cfg_sa/layer_17/metrics_summary.json
MotionCLR,SA,0,FID,0.6223,0.4248,0.6345,0.7418,3.565,8.3327,2.1544,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/sa/layer_0/metrics_summary.json
MotionCLR,SA,1,FID,0.1152,0.4429,0.6468,0.7491,3.4595,8.3808,2.1823,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/sa/layer_1/metrics_summary.json
MotionCLR,SA,2,FID,0.1134,0.4345,0.6407,0.7522,3.4425,8.4434,2.377,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/sa/layer_2/metrics_summary.json
MotionCLR,SA,3,FID,0.1426,0.4369,0.6394,0.7534,3.4294,8.4837,2.3895,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/sa/layer_3/metrics_summary.json
MotionCLR,SA,4,FID,0.1282,0.4403,0.6435,0.7567,3.4193,8.4744,2.3578,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/sa/layer_4/metrics_summary.json
MotionCLR,SA,5,FID,0.127,0.445,0.6459,0.7562,3.4161,8.4772,2.3551,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/sa/layer_5/metrics_summary.json
MotionCLR,SA,6,FID,0.1265,0.4429,0.6431,0.7565,3.4193,8.4661,2.3593,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/sa/layer_6/metrics_summary.json
MotionCLR,SA,7,FID,0.1265,0.4429,0.6448,0.7562,3.4185,8.4671,2.3576,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/sa/layer_7/metrics_summary.json
MotionCLR,SA,8,FID,0.1263,0.4422,0.6442,0.758,3.4188,8.47,2.3536,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/sa/layer_8/metrics_summary.json
MotionCLR,SA,9,FID,0.1257,0.4442,0.6446,0.7569,3.4184,8.4666,2.3544,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/sa/layer_9/metrics_summary.json
MotionCLR,SA,10,FID,0.1286,0.4427,0.6442,0.7556,3.4189,8.476,2.3533,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/sa/layer_10/metrics_summary.json
MotionCLR,SA,11,FID,0.1228,0.4414,0.6442,0.7616,3.4173,8.4757,2.3513,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/sa/layer_11/metrics_summary.json
MotionCLR,SA,12,FID,0.1751,0.4386,0.6379,0.7463,3.4505,8.3682,2.3687,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/sa/layer_12/metrics_summary.json
MotionCLR,SA,13,FID,0.2959,0.4369,0.6366,0.7392,3.462,8.4404,2.3309,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/sa/layer_13/metrics_summary.json
MotionCLR,SA,14,FID,1.323,0.4101,0.6123,0.7203,3.6871,8.1961,2.2901,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/sa/layer_14/metrics_summary.json
MotionCLR,SA,15,FID,0.4802,0.4276,0.6321,0.7401,3.5535,8.3721,2.504,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/sa/layer_15/metrics_summary.json
MotionCLR,SA,16,FID,0.127,0.4429,0.6431,0.7565,3.4188,8.4661,2.3586,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/sa/layer_16/metrics_summary.json
MotionCLR,SA,17,FID,0.1271,0.4425,0.6427,0.7569,3.4187,8.4652,2.3572,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/sa/layer_17/metrics_summary.json
MotionCLR,baseline,NA,FID,0.1268,0.4437,0.6435,0.7562,3.4182,8.4674,2.3566,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/baseline/metrics_summary.json
MotionCLR,baseline,NA,FID,0.1268,0.4437,0.6435,0.7562,3.4182,8.4674,2.3566,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/baseline/metrics_summary.json
MotionGPT,CA,0,FID,0.2281801849603653,0.41637930274009705,0.5780172348022461,0.6650862097740173,3.9770424365997314,9.403861045837402,3.3955090045928955,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_ca_layer_0_20260605_gpu0/metrics_summary.json
MotionGPT,CA,1,FID,0.1712959259748459,0.40344828367233276,0.5674569010734558,0.664008617401123,4.0101799964904785,9.03195858001709,3.588057518005371,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_ca_layer_1_20260605_gpu0/metrics_summary.json
MotionGPT,CA,2,FID,0.19167636334896088,0.40668103098869324,0.5665948390960693,0.6625000238418579,4.022620677947998,9.259074211120605,3.409428596496582,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_ca_layer_2_20260605_gpu0/metrics_summary.json
MotionGPT,CA,3,FID,0.1805504709482193,0.40431034564971924,0.5670258402824402,0.6601293087005615,4.043696880340576,8.959338188171387,3.464550733566284,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_ca_layer_3_20260605_gpu0/metrics_summary.json
MotionGPT,CA,4,FID,0.2208622545003891,0.40668103098869324,0.5657327771186829,0.653232753276825,4.042514801025391,9.409709930419922,3.764848232269287,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_ca_layer_4_20260605_gpu0/metrics_summary.json
MotionGPT,CA,5,FID,0.20921945571899414,0.413362056016922,0.5732758641242981,0.6581896543502808,4.016363620758057,9.255224227905273,3.4369895458221436,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_ca_layer_5_20260605_gpu0/metrics_summary.json
MotionGPT,CA,6,FID,0.1882912963628769,0.40323275327682495,0.5704741477966309,0.6614224314689636,4.020625591278076,9.448444366455078,3.7760307788848877,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_ca_layer_6_20260605_gpu0/metrics_summary.json
MotionGPT,CA,7,FID,0.17520491778850555,0.40431034564971924,0.5700430870056152,0.6612069010734558,4.026930809020996,9.11112117767334,3.535355806350708,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_ca_layer_7_20260605_gpu0/metrics_summary.json
MotionGPT,CA,8,FID,0.20763523876667023,0.40323275327682495,0.5678879022598267,0.6590517163276672,4.032400608062744,9.390579223632812,3.5658745765686035,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_ca_layer_8_20260605_gpu0/metrics_summary.json
MotionGPT,CA,9,FID,0.16865935921669006,0.39504310488700867,0.5685344934463501,0.6571120619773865,4.073602676391602,9.102177619934082,3.5510473251342773,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_ca_layer_9_20260605_gpu0/metrics_summary.json
MotionGPT,CA,10,FID,0.23478761315345764,0.40344828367233276,0.5581896305084229,0.6474137902259827,4.077030181884766,9.411295890808105,3.7757303714752197,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_ca_layer_10_20260605_gpu0/metrics_summary.json
MotionGPT,CA,11,FID,0.16866552829742432,0.38857758045196533,0.5568965673446655,0.646767258644104,4.124877452850342,9.060945510864258,3.9377026557922363,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_ca_layer_11_20260605_gpu0/metrics_summary.json
MotionGPT,SA,0,FID,0.23282022774219513,0.40193966031074524,0.564224123954773,0.6603448390960693,3.995609998703003,9.131439208984375,3.606788158416748,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_sa_layer_0_20260605_gpu1/metrics_summary.json
MotionGPT,SA,1,FID,0.1915576457977295,0.4053879380226135,0.5745689868927002,0.6633620858192444,3.9678664207458496,9.317036628723145,3.2672359943389893,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_sa_layer_1_20260605_gpu1/metrics_summary.json
MotionGPT,SA,2,FID,0.18347647786140442,0.40581896901130676,0.571982741355896,0.6607758402824402,3.9959545135498047,9.367690086364746,3.341160535812378,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_sa_layer_2_20260605_gpu1/metrics_summary.json
MotionGPT,SA,3,FID,0.21483466029167175,0.4107758700847626,0.5771551728248596,0.6717672348022461,3.9605789184570312,9.207830429077148,3.4964985847473145,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_sa_layer_3_20260605_gpu1/metrics_summary.json
MotionGPT,SA,4,FID,0.18285642564296722,0.4120689630508423,0.584267258644104,0.665732741355896,3.9499456882476807,9.084687232971191,3.549628973007202,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_sa_layer_4_20260605_gpu1/metrics_summary.json
MotionGPT,SA,5,FID,0.19741412997245789,0.3976293206214905,0.5538793206214905,0.6482758522033691,4.05042839050293,9.19871711730957,3.4313125610351562,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_sa_layer_5_20260605_gpu1/metrics_summary.json
MotionGPT,SA,6,FID,0.1929764449596405,0.41551724076271057,0.5864224433898926,0.670258641242981,3.9538590908050537,9.177026748657227,3.4270312786102295,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_sa_layer_6_20260605_gpu1/metrics_summary.json
MotionGPT,SA,7,FID,0.24351903796195984,0.4101293087005615,0.571767270565033,0.6661638021469116,3.9872007369995117,9.341859817504883,3.457127332687378,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_sa_layer_7_20260605_gpu1/metrics_summary.json
MotionGPT,SA,8,FID,0.17079728841781616,0.39956897497177124,0.571767270565033,0.6571120619773865,4.016685485839844,9.434793472290039,3.5193612575531006,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_sa_layer_8_20260605_gpu1/metrics_summary.json
MotionGPT,SA,9,FID,0.1970813274383545,0.4077586233615875,0.5704741477966309,0.665517270565033,3.9984066486358643,9.024428367614746,3.4913551807403564,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_sa_layer_9_20260605_gpu1/metrics_summary.json
