state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path
Downloaded,B,ARDHOI Auto Regressive Diffusion for Generating 3D Human Object Interactions,AAAI 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/AAAI_2025/2025_ARDHOI_Auto_Regressive_Diffusion_for_Generating_3D_Human_Object_Interactions.pdf
Downloaded,B,DiffGrasp Whole Body Grasping Synthesis Guided by Object Motion Using a Diffusion Model,AAAI 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/AAAI_2025/2025_DiffGrasp_Whole_Body_Grasping_Synthesis_Guided_by_Object_Motion_Using_a_Diffusion_Model.pdf
Downloaded,B,InterMoE Individual Specific 3D Human Interaction Generation via Dynamic Temporal Selective MoE,AAAI 2026,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/AAAI_2026/2026_InterMoE_Individual_Specific_3D_Human_Interaction_Generation_via_Dynamic_Temporal_Selective_MoE.pdf
Downloaded,B,OnlineHOI Towards Online Human Object Interaction Generation and Perception,ACM_MM_2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/ACM_MM_2025/2025_OnlineHOI_Towards_Online_Human_Object_Interaction_Generation_and_Perception.pdf
Downloaded,B,3D Whole body Grasp Synthesis with Directional Controllability,arXiv 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2024/2024_3D_Whole_body_Grasp_Synthesis_with_Directional_Controllability.pdf
Downloaded,B,CHOICE Coordinated Human Object Interaction in Cluttered Environments for Pick and Place Actions,arXiv 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2024/2024_CHOICE_Coordinated_Human_Object_Interaction_in_Cluttered_Environments_for_Pick_and_Place_Actions.pdf
Downloaded,B,COLLAGE Collaborative Human Agent Interaction Generation using Hierarchical Latent Diffusion and Language Models,arXiv 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2024/2024_COLLAGE_Collaborative_Human_Agent_Interaction_Generation_using_Hierarchical_Latent_Diffusion_and_Language_Models.pdf
Downloaded,B,DIP Diffusion Implicit Policy for Unpaired Scene aware Motion Synthesis,arXiv 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2024/2024_DIP_Diffusion_Implicit_Policy_for_Unpaired_Scene_aware_Motion_Synthesis.pdf
Downloaded,B,GPT Connect Interaction between Text Driven Human Motion Generator and 3D Scenes in a Training free Manner,arXiv 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2024/2024_GPT_Connect_Interaction_between_Text_Driven_Human_Motion_Generator_and_3D_Scenes_in_a_Training_free_Manner.pdf
Downloaded,B,GraspDiffusion Synthesizing Realistic Whole body Hand Object Interaction,arXiv 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2024/2024_GraspDiffusion_Synthesizing_Realistic_Whole_body_Hand_Object_Interaction.pdf
