case_index,model_label,sample_outcome,sample_id,frame_index,delta_l2
5,MoMask original,failure,hml_orig100_train_001__full,14,325.4270366537
5,MoMask original,failure,hml_orig100_train_001__full,15,324.9710758989
5,MoMask original,failure,hml_orig100_train_001__full,16,322.2828869320
5,MoMask original,failure,hml_orig100_train_001__full,17,317.4706721628
5,MoMask original,failure,hml_orig100_train_001__full,18,308.9027501382
5,MoMask original,failure,hml_orig100_train_001__full,19,302.9965847925
5,MoMask original,failure,hml_orig100_train_001__full,20,285.6739550402
6,MoGenTS,success,hml_orig100_train_003__full,0,431.2493240287
6,MoGenTS,success,hml_orig100_train_003__full,1,388.3064435574
6,MoGenTS,success,hml_orig100_train_003__full,2,425.3179600247
6,MoGenTS,success,hml_orig100_train_003__full,3,469.5704702325
6,MoGenTS,success,hml_orig100_train_003__full,4,530.6478127273
6,MoGenTS,success,hml_orig100_train_003__full,5,592.6035215012
6,MoGenTS,success,hml_orig100_train_003__full,6,628.1602073121
6,MoGenTS,success,hml_orig100_train_003__full,7,649.8123237921
6,MoGenTS,success,hml_orig100_train_003__full,8,652.5789969204
6,MoGenTS,success,hml_orig100_train_003__full,9,646.7453484919
6,MoGenTS,success,hml_orig100_train_003__full,10,639.1697444159
6,MoGenTS,success,hml_orig100_train_003__full,11,625.5536425886
6,MoGenTS,success,hml_orig100_train_003__full,12,592.6188564845
6,MoGenTS,success,hml_orig100_train_003__full,13,529.8806466558
6,MoGenTS,success,hml_orig100_train_003__full,14,478.0487324807
6,MoGenTS,success,hml_orig100_train_003__full,15,462.6707770317
6,MoGenTS,success,hml_orig100_train_003__full,16,458.4174866403
6,MoGenTS,success,hml_orig100_train_003__full,17,434.3374039654
6,MoGenTS,success,hml_orig100_train_003__full,18,418.8600233459
6,MoGenTS,success,hml_orig100_train_003__full,19,435.8627335810
6,MoGenTS,success,hml_orig100_train_003__full,20,457.9669015825
6,MoGenTS,success,hml_orig100_train_003__full,21,478.7489526395
6,MoGenTS,success,hml_orig100_train_003__full,22,490.0187023664
7,MoGenTS,failure,hml_orig100_train_002__full,0,573.5847676716
7,MoGenTS,failure,hml_orig100_train_002__full,1,560.3909887412
7,MoGenTS,failure,hml_orig100_train_002__full,2,547.4956787134
7,MoGenTS,failure,hml_orig100_train_002__full,3,452.5174892577
7,MoGenTS,failure,hml_orig100_train_002__full,4,381.0862072188
7,MoGenTS,failure,hml_orig100_train_002__full,5,354.1682620510
7,MoGenTS,failure,hml_orig100_train_002__full,6,355.6260922099
7,MoGenTS,failure,hml_orig100_train_002__full,7,383.6548653803
7,MoGenTS,failure,hml_orig100_train_002__full,8,417.9585938567
7,MoGenTS,failure,hml_orig100_train_002__full,9,429.3179514499
7,MoGenTS,failure,hml_orig100_train_002__full,10,424.0496067592
7,MoGenTS,failure,hml_orig100_train_002__full,11,421.1023903008
7,MoGenTS,failure,hml_orig100_train_002__full,12,418.5734758976
7,MoGenTS,failure,hml_orig100_train_002__full,13,417.7961659623
7,MoGenTS,failure,hml_orig100_train_002__full,14,430.5943167601
7,MoGenTS,failure,hml_orig100_train_002__full,15,450.1917968133
7,MoGenTS,failure,hml_orig100_train_002__full,16,462.5325813575
7,MoGenTS,failure,hml_orig100_train_002__full,17,464.3124729370
7,MoGenTS,failure,hml_orig100_train_002__full,18,469.3865627730
7,MoGenTS,failure,hml_orig100_train_002__full,19,473.2546923735
7,MoGenTS,failure,hml_orig100_train_002__full,20,466.6719338772
7,MoGenTS,failure,hml_orig100_train_002__full,21,452.6582128368
7,MoGenTS,failure,hml_orig100_train_002__full,22,442.1444567747
7,MoGenTS,failure,hml_orig100_train_002__full,23,437.1171646835
7,MoGenTS,failure,hml_orig100_train_002__full,24,434.3906151352
7,MoGenTS,failure,hml_orig100_train_002__full,25,455.5431298295
7,MoGenTS,failure,hml_orig100_train_002__full,26,520.1305853785
7,MoGenTS,failure,hml_orig100_train_002__full,27,596.1983471969
7,MoGenTS,failure,hml_orig100_train_002__full,28,657.3516267343
7,MoGenTS,failure,hml_orig100_train_002__full,29,694.5283044339
7,MoGenTS,failure,hml_orig100_train_002__full,30,749.2719049472
7,MoGenTS,failure,hml_orig100_train_002__full,31,823.3899123828
7,MoGenTS,failure,hml_orig100_train_002__full,32,889.9935233725
7,MoGenTS,failure,hml_orig100_train_002__full,33,912.9353355111
7,MoGenTS,failure,hml_orig100_train_002__full,34,901.1888181280
7,MoGenTS,failure,hml_orig100_train_002__full,35,880.7865086293
7,MoGenTS,failure,hml_orig100_train_002__full,36,854.0611883886
7,MoGenTS,failure,hml_orig100_train_002__full,37,677.8333645210
