venue	paper_title	target_pdf_path	resolved_pdf_url	source_url
SIGGRAPH ASIA 2025	Motion2Motion: Cross-topology Motion Retargeting with Sparse Correspondence	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Motion2Motion_Cross_topology_Motion_Retargeting_with_Sparse_Correspondence.pdf	https://dl.acm.org/doi/pdf/10.1145/3757377.3763811	https://doi.org/10.1145/3757377.3763811
SIGGRAPH ASIA 2025	Ultrafast and Controllable Online Motion Retargeting for Game Scenarios	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Ultrafast_and_Controllable_Online_Motion_Retargeting_for_Game_Scenarios.pdf	https://dl.acm.org/doi/pdf/10.1145/3763351	https://doi.org/10.1145/3763351
SIGGRAPH ASIA 2025	SMF: Template-free and Rig-free Animation Transfer using Kinetic Codes	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/SMF_Template_free_and_Rig_free_Animation_Transfer_using_Kinetic_Codes.pdf	https://dl.acm.org/doi/pdf/10.1145/3763309	https://doi.org/10.1145/3763309
SIGGRAPH ASIA 2025	The Granule-In-Cell Method for Simulating Sand-Water Mixtures	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/The_Granule_In_Cell_Method_for_Simulating_Sand_Water_Mixtures.pdf	https://dl.acm.org/doi/pdf/10.1145/3763279	https://doi.org/10.1145/3763279
SIGGRAPH ASIA 2025	Kinetic Free-Surface Flows and Foams with Sharp Interfaces	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Kinetic_Free_Surface_Flows_and_Foams_with_Sharp_Interfaces.pdf	https://dl.acm.org/doi/pdf/10.1145/3763288	https://doi.org/10.1145/3763288
SIGGRAPH ASIA 2025	Implicit Incompressible Porous Flow using SPH	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Implicit_Incompressible_Porous_Flow_using_SPH.pdf	https://dl.acm.org/doi/pdf/10.1145/3763325	https://doi.org/10.1145/3763325
SIGGRAPH ASIA 2025	Fire-X: Extinguishing Fire with Stoichiometric Heat Release	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Fire_X_Extinguishing_Fire_with_Stoichiometric_Heat_Release.pdf	https://dl.acm.org/doi/pdf/10.1145/3763338	https://doi.org/10.1145/3763338
SIGGRAPH ASIA 2025	Wavelet Fluids	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Wavelet_Fluids.pdf	https://dl.acm.org/doi/pdf/10.1145/3763364	https://doi.org/10.1145/3763364
SIGGRAPH ASIA 2025	Sparse SVBRDF Acquisition via Importance-Aware Illumination Multiplexing	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Sparse_SVBRDF_Acquisition_via_Importance_Aware_Illumination_Multiplexing.pdf	https://dl.acm.org/doi/pdf/10.1145/3763324	https://doi.org/10.1145/3763324
SIGGRAPH ASIA 2025	ConsiStyle: Style Diversity in Training-Free Consistent T2I Generation	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/ConsiStyle_Style_Diversity_in_Training_Free_Consistent_T2I_Generation.pdf	https://dl.acm.org/doi/pdf/10.1145/3763303	https://doi.org/10.1145/3763303
SIGGRAPH ASIA 2025	PractiLight: Practical Light Control Using Foundational Diffusion Models	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/PractiLight_Practical_Light_Control_Using_Foundational_Diffusion_Models.pdf	https://dl.acm.org/doi/pdf/10.1145/3763342	https://doi.org/10.1145/3763342
SIGGRAPH ASIA 2025	Magic Fixup: Streamlining Photo Editing by Watching Dynamic Videos	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Magic_Fixup_Streamlining_Photo_Editing_by_Watching_Dynamic_Videos.pdf	https://dl.acm.org/doi/pdf/10.1145/3750722	https://doi.org/10.1145/3750722
SIGGRAPH ASIA 2025	B4M: Breaking Low-Rank Adapter for Making Content-Style Customization	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/B4M_Breaking_Low_Rank_Adapter_for_Making_Content_Style_Customization.pdf	https://dl.acm.org/doi/pdf/10.1145/3728461	https://doi.org/10.1145/3728461
SIGGRAPH ASIA 2025	JumpingGS: Level-jump 3D Gaussian Representation for Delicate Textures in Aerial Large-scale Scene Rendering	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/JumpingGS_Level_jump_3D_Gaussian_Representation_for_Delicate_Textures_in_Aerial_Large_scale_Scene_Rendering.pdf	https://dl.acm.org/doi/pdf/10.1145/3763347	https://doi.org/10.1145/3763347
SIGGRAPH ASIA 2025	One-shot Embroidery Customization via Contrastive LoRA Modulation	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/One_shot_Embroidery_Customization_via_Contrastive_LoRA_Modulation.pdf	https://dl.acm.org/doi/pdf/10.1145/3763290	https://doi.org/10.1145/3763290
SIGGRAPH ASIA 2025	RL-ACD: Reinforcement Learning-based Approximate Convex Decomposition	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/RL_ACD_Reinforcement_Learning_based_Approximate_Convex_Decomposition.pdf	https://dl.acm.org/doi/pdf/10.1145/3763270	https://doi.org/10.1145/3763270
SIGGRAPH ASIA 2025	Aerial Path Planning for Urban Geometry and Texture Co-Capture	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Aerial_Path_Planning_for_Urban_Geometry_and_Texture_Co_Capture.pdf	https://dl.acm.org/doi/pdf/10.1145/3763292	https://doi.org/10.1145/3763292
SIGGRAPH ASIA 2025	Direct Rendering of Intrinsic Triangulations	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Direct_Rendering_of_Intrinsic_Triangulations.pdf	https://dl.acm.org/doi/pdf/10.1145/3716314	https://doi.org/10.1145/3716314
SIGGRAPH ASIA 2025	NESI: Neural Explicit-Shape-Intersection-Based Geometry Representation	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/NESI_Neural_Explicit_Shape_Intersection_Based_Geometry_Representation.pdf	https://dl.acm.org/doi/pdf/10.1145/3742893	https://doi.org/10.1145/3742893
