index,sample_id,year,video_prefix,prefix_no_subclip,prefix_no_variant,valid_frames,z_max_abs,z_sq_mean,z_human_max_abs,z_human_sq_mean,z_camera_max_abs,z_camera_sq_mean,loss_camera,loss_human,loss_joint,loss_mean_across_tasks
5182,2016_0SDvqDdbhSc_00010_001_a,2016,2016_0SDvqDdbhSc,2016_0SDvqDdbhSc_00010,2016_0SDvqDdbhSc_00010_001,22,13.6796875,0.5830657482147217,13.6796875,0.7439016699790955,3.2109375,0.26139378547668457,0.0037683977279812098,0.00765162892639637,0.011823832057416439,0.007747952903931339
8860,2018_M1dWcUcCAgk_00008_000_a,2018,2018_M1dWcUcCAgk,2018_M1dWcUcCAgk_00008,2018_M1dWcUcCAgk_00008_000,15,13.6328125,1.314118504524231,13.6328125,1.151589035987854,8.3828125,1.6391773223876953,0.005965152755379677,0.014064723625779152,0.11175361275672913,0.04392782971262932
6321,2016_u0aPph3nUwQ_00000_000_b,2016,2016_u0aPph3nUwQ,2016_u0aPph3nUwQ_00000,2016_u0aPph3nUwQ_00000_000,55,13.53125,4.750090599060059,13.53125,5.786794185638428,6.22265625,2.676682472229004,0.010333260521292686,0.016846686601638794,0.05506886541843414,0.027416270847121876
10537,2019_zpvTZ0G0UiM_00033_000_a,2019,2019_zpvTZ0G0UiM,2019_zpvTZ0G0UiM_00033,2019_zpvTZ0G0UiM_00033_000,33,13.5234375,1.825002670288086,3.916015625,0.4789178967475891,13.5234375,4.517171859741211,0.0055326311849057674,0.035343561321496964,0.3745633065700531,0.13847983302548528
3302,2014_LVYMePfXin8_00011_000_a,2014,2014_LVYMePfXin8,2014_LVYMePfXin8_00011,2014_LVYMePfXin8_00011_000,27,13.4375,2.183173179626465,8.59375,0.7407004237174988,13.4375,5.068118572235107,0.0022930155973881483,0.007080758456140757,0.009914501570165157,0.006429425207898021
4979,2015_sYVz2G-r01U_00002_000_a,2015,2015_sYVz2G-r01U,2015_sYVz2G-r01U_00002,2015_sYVz2G-r01U_00002_000,35,13.4140625,2.400235652923584,5.9296875,0.9096258282661438,13.4140625,5.381455421447754,0.0022489232942461967,0.006026524119079113,0.024895599111914635,0.011057015508413315
9877,2019_Xvyf7ml1ndo_00016_000_a,2019,2019_Xvyf7ml1ndo,2019_Xvyf7ml1ndo_00016,2019_Xvyf7ml1ndo_00016_000,39,13.2890625,1.9342612028121948,13.2890625,2.6596057415008545,5.08984375,0.4835718274116516,0.015413030982017517,0.015643492341041565,0.35099002718925476,0.12734885017077127
4889,2015_o2J59hT1Vto_00005_001_a,2015,2015_o2J59hT1Vto,2015_o2J59hT1Vto_00005,2015_o2J59hT1Vto_00005_001,42,13.0625,1.5280015468597412,5.19140625,0.534087598323822,13.0625,3.515829563140869,0.006111932452768087,0.030095037072896957,0.030936000868678093,0.022380990131447714
2727,2012_nRTjNEP6v2U_00004_000_b,2012,2012_nRTjNEP6v2U,2012_nRTjNEP6v2U_00004,2012_nRTjNEP6v2U_00004_000,16,13.0390625,1.0172086954116821,13.0390625,1.397464632987976,5.5703125,0.2566971480846405,0.008547976613044739,0.01571405492722988,0.04171667620539665,0.021992902581890423
2615,2012_izxDdUcC3Ag_00058_000_a,2012,2012_izxDdUcC3Ag,2012_izxDdUcC3Ag_00058,2012_izxDdUcC3Ag_00058_000,12,12.9921875,0.43875205516815186,12.9921875,0.5809831023216248,3.720703125,0.15428997576236725,0.010534235276281834,0.018447866663336754,0.2736843526363373,0.1008888181919853
9277,2019_7d4Sd1W25xs_00005_000_a,2019,2019_7d4Sd1W25xs,2019_7d4Sd1W25xs_00005,2019_7d4Sd1W25xs_00005_000,32,12.828125,0.5535123944282532,12.828125,0.6707971096038818,5.421875,0.31894296407699585,0.0018710176227614284,0.004476609639823437,0.003800318343564868,0.0033826485353832445
1892,2012_DHDOgbfwSlY_00001_000_a,2012,2012_DHDOgbfwSlY,2012_DHDOgbfwSlY_00001,2012_DHDOgbfwSlY_00001_000,18,12.6328125,0.9725852608680725,12.6328125,1.2555427551269531,5.41015625,0.40667057037353516,0.009026777930557728,0.032953664660453796,0.3716781735420227,0.13788620537767807
9721,2019_QteR6PIwTNk_00003_001_a,2019,2019_QteR6PIwTNk,2019_QteR6PIwTNk_00003,2019_QteR6PIwTNk_00003_001,21,12.59375,0.45633628964424133,12.59375,0.5911965370178223,3.689453125,0.18661582469940186,0.020644422620534897,0.019911905750632286,0.020374976098537445,0.020310434823234875
2519,2012_fTEPaF5TjWU_00011_000_a,2012,2012_fTEPaF5TjWU,2012_fTEPaF5TjWU_00011,2012_fTEPaF5TjWU_00011_000,46,12.5078125,0.9502498507499695,12.5078125,1.2078937292099,6.43359375,0.43496227264404297,0.009363578632473946,0.011426557786762714,0.14755529165267944,0.0561151426906387
5116,2015_y9d6Tblt1kE_00007_000_a,2015,2015_y9d6Tblt1kE,2015_y9d6Tblt1kE_00007,2015_y9d6Tblt1kE_00007_000,31,12.4921875,0.6804746985435486,12.4921875,0.8547734618186951,5.4765625,0.3318772614002228,0.004160710144788027,0.013718881644308567,0.031913623213768005,0.0165977383342882
5070,2015_w3sv1-F1JeI_00038_000_a,2015,2015_w3sv1-F1JeI,2015_w3sv1-F1JeI_00038,2015_w3sv1-F1JeI_00038_000,32,12.484375,4.0528883934021,10.296875,1.2078461647033691,12.484375,9.742971420288086,0.006000053137540817,0.015954241156578064,0.018089912831783295,0.013348069041967392
