source_index,title,publication,paper,project,code,dataset,model,demo,resource_type,appended
248,DynamicEarthNet: Daily Multi-Spectral Satellite Dataset for Semantic Change Segmentation,CVPR 2022,https://arxiv.org/abs/2203.12560,https://codalab.lisn.upsaclay.fr/competitions/2882,,,,,paper,yes
249,A Unified Framework for Implicit Sinkhorn Differentiation,CVPR 2022,https://arxiv.org/abs/2205.06688,,https://github.com/marvin-eisenberger/implicit-sinkhorn,,,,paper,yes
250,Opening up Open-World Tracking,CVPR 2022,https://arxiv.org/abs/2104.11221,https://openworldtracking.github.io/,https://github.com/JonathonLuiten/TrackEval/tree/master/docs/OpenWorldTracking-Official,,,,paper,yes
251,GIPSO: Geometrically informed propagation for online adaptation in 3d lidar segmentation,ECCV 2022,https://arxiv.org/abs/2207.09763,,https://github.com/saltoricristiano/gipso-sfouda,,,,paper,yes
252,Cosmix: Compositional semantic mix for domain adaptation in 3d lidar segmentation,ECCV 2022,https://arxiv.org/abs/2207.09778,,https://github.com/saltoricristiano/cosmix-uda,,,,paper,yes
253,Forecasting from LiDAR via Future Object Detection,CVPR 2022,https://arxiv.org/abs/2203.16297,,https://github.com/neeharperi/FutureDet,,,,paper,yes
254,PADL: Language-Directed Physics-Based Character Control,SIGGRAPH Asia 2022,https://arxiv.org/abs/2301.13868,https://research.nvidia.com/labs/toronto-ai/PADL/,https://github.com/nv-tlabs/PADL,,,,paper,yes
255,XDGAN: Multi-Modal 3D Shape Generation in 2D Space,BMVC 2022,https://arxiv.org/abs/2210.03007,https://research.nvidia.com/labs/toronto-ai/XDGAN/,,,,,paper,yes
256,MvDeCor: Multi-view Dense Correspondence Learning for Fine-grained 3D Segmentation,ECCV 2022,https://arxiv.org/abs/2208.08580,https://research.nvidia.com/labs/toronto-ai/MvDeCor/,https://github.com/nv-tlabs/MvDeCor,,,,paper,yes
257,Language-Grounded Indoor 3D Semantic Segmentation in the Wild,ECCV 2022,https://arxiv.org/abs/2204.07761,https://rozdavid.github.io/scannet200,https://github.com/RozDavid/LanguageGroundedSemseg,,,,paper,yes
258,Learning Smooth Neural Functions via Lipschitz Regularization,SIGGRAPH 2022,https://arxiv.org/abs/2202.08345,https://research.nvidia.com/labs/toronto-ai/lip-mlp/,https://github.com/ml-for-gp/jaxgptoolbox,,,,paper,yes
259,ASE: Large-Scale Reusable Adversarial Skill Embeddings for Physically Simulated Characters,SIGGRAPH 2022,https://arxiv.org/abs/2205.01906,https://research.nvidia.com/labs/toronto-ai/ASE/,https://github.com/nv-tlabs/ASE,,,,paper,yes
260,Deep Learned Face Swapping in Feature Film Production,SIGGRAPH 2022,https://dl.acm.org/doi/pdf/10.1145/3532836.3536271,,,,,,paper,yes
261,Variable Bitrate Neural Fields,SIGGRAPH 2022,https://arxiv.org/abs/2206.07707,https://research.nvidia.com/labs/toronto-ai/vqad/,https://github.com/nv-tlabs/vqad,,,,paper,yes
262,Polymorphic-GAN: Generating Aligned Samples across Multiple Domains with Learned Morph Maps,CVPR 2022,https://arxiv.org/abs/2206.02903,https://research.nvidia.com/labs/toronto-ai/PMGAN/,,,,,paper,yes
263,"Extracting Triangular 3D Models, Materials, and Lighting From Images",CVPR 2022,https://arxiv.org/abs/2111.12503,https://nvlabs.github.io/nvdiffrec/,https://github.com/NVlabs/nvdiffrec,,,,paper,yes
264,How Much More Data Do I Need? Estimating Requirements for Downstream Tasks,CVPR 2022,https://arxiv.org/abs/2207.01725,https://research.nvidia.com/labs/toronto-ai/estimatingrequirements/,,,,,paper,yes
265,Frame Averaging for Equivariant Shape Space Learning,CVPR 2022,https://arxiv.org/abs/2112.01741,https://research.nvidia.com/labs/toronto-ai/equivariant/,,,,,paper,yes
266,Generating Useful Accident-Prone Driving Scenarios via a Learned Traffic Prior,CVPR 2022,https://arxiv.org/abs/2112.05077,https://research.nvidia.com/labs/toronto-ai/STRIVE/,https://github.com/nv-tlabs/STRIVE,,,,paper,yes
267,AUV-Net: Learning Aligned UV Maps for Texture Transfer and Synthesis,CVPR 2022,https://arxiv.org/abs/2204.03105,https://research.nvidia.com/labs/toronto-ai/AUV-NET/,https://github.com/nv-tlabs/AUV-NET,,,,paper,yes
268,Neural Fields as Learnable Kernels for 3D Reconstruction,CVPR 2022,https://arxiv.org/abs/2111.13674,https://research.nvidia.com/labs/toronto-ai/nkf/,,,,,paper,yes
