state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path,analysis_path
checked,,AUHead: Realistic Emotional Talking Head Generation via Action Units Control,ICLR 2026,,https://openreview.net/forum?id=dmzlAUkulz,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/AUHead_Realistic_Emotional_Talking_Head_Generation_via_Action_Units_Control.pdf,obsidian-vault/analysis/ICLR_2026/AUHead_Realistic_Emotional_Talking_Head_Generation_via_Action_Units_Control.md
checked,,AVERE: Improving Audiovisual Emotion Reasoning with Preference Optimization,ICLR 2026,,https://openreview.net/forum?id=td682AAuPr,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/AVERE_Improving_Audiovisual_Emotion_Reasoning_with_Preference_Optimization.pdf,obsidian-vault/analysis/ICLR_2026/AVERE_Improving_Audiovisual_Emotion_Reasoning_with_Preference_Optimization.md
checked,,AVoCaDO: An Audiovisual Video Captioner Driven by Temporal Orchestration,ICLR 2026,,https://openreview.net/forum?id=vjEl1PuIDE,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/AVoCaDO_An_Audiovisual_Video_Captioner_Driven_by_Temporal_Orchestration.pdf,obsidian-vault/analysis/ICLR_2026/AVoCaDO_An_Audiovisual_Video_Captioner_Driven_by_Temporal_Orchestration.md
checked,,A Balanced Neuro-Symbolic Approach for Commonsense Abductive Logic,ICLR 2026,,https://openreview.net/forum?id=RCsBoUr72G,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Balanced_Neuro-Symbolic_Approach_for_Commonsense_Abductive_Logic.pdf,obsidian-vault/analysis/ICLR_2026/A_Balanced_Neuro-Symbolic_Approach_for_Commonsense_Abductive_Logic.md
checked,,A Bayesian Nonparametric Framework For Learning Disentangled Representations,ICLR 2026,,https://openreview.net/forum?id=GVOLiaENgU,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Bayesian_Nonparametric_Framework_For_Learning_Disentangled_Representations.pdf,obsidian-vault/analysis/ICLR_2026/A_Bayesian_Nonparametric_Framework_For_Learning_Disentangled_Representations.md
checked,,"A Bayesian Nonparametric Framework for Private, Fair, and Balanced Tabular Data Synthesis",ICLR 2026,,https://openreview.net/forum?id=j0czDrEnFc,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Bayesian_Nonparametric_Framework_for_Private_Fair_and_Balanced_Tabular_Data_Synthesis.pdf,obsidian-vault/analysis/ICLR_2026/A_Bayesian_Nonparametric_Framework_for_Private_Fair_and_Balanced_Tabular_Data_Synthesis.md
checked,,A Benchmark for Deep Information Synthesis,ICLR 2026,,https://openreview.net/forum?id=0Dhpt9aY3n,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Benchmark_for_Deep_Information_Synthesis.pdf,obsidian-vault/analysis/ICLR_2026/A_Benchmark_for_Deep_Information_Synthesis.md
checked,,A Biologically Plausible Dense Associative Memory with Exponential Capacity,ICLR 2026,,https://openreview.net/forum?id=mRZOayQL1i,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Biologically_Plausible_Dense_Associative_Memory_with_Exponential_Capacity.pdf,obsidian-vault/analysis/ICLR_2026/A_Biologically_Plausible_Dense_Associative_Memory_with_Exponential_Capacity.md
checked,,A Block Coordinate Descent Method for Nonsmooth Composite Optimization under Orthogonality Constraints,ICLR 2026,,https://openreview.net/forum?id=L3Or2mhuCH,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Block_Coordinate_Descent_Method_for_Nonsmooth_Composite_Optimization_under_Orthogonality_Constraints.pdf,obsidian-vault/analysis/ICLR_2026/A_Block_Coordinate_Descent_Method_for_Nonsmooth_Composite_Optimization_under_Orthogonality_Constraints.md
checked,,A Brain-Inspired Gating Mechanism Unlocks Robust Computation in Spiking Neural Networks,ICLR 2026,,https://openreview.net/forum?id=5h741EyfQM,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/A_Brain-Inspired_Gating_Mechanism_Unlocks_Robust_Computation_in_Spiking_Neural_Networks.pdf,obsidian-vault/analysis/ICLR_2026/A_Brain-Inspired_Gating_Mechanism_Unlocks_Robust_Computation_in_Spiking_Neural_Networks.md
