batch_id,root_id,subtopic_id,subtopic_label,paper_count,manifest_path
iclr26_generative_models_diffusion__graph_neural_networks__b003,generative_models_diffusion,graph_neural_networks,Graph Neural Networks,25,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__graph_neural_networks__b003.jsonl
iclr26_generative_models_diffusion__graph_neural_networks__b004,generative_models_diffusion,graph_neural_networks,Graph Neural Networks,8,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__graph_neural_networks__b004.jsonl
iclr26_generative_models_diffusion__molecular_generation__b001,generative_models_diffusion,molecular_generation,Molecular / Scientific Generation,25,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__molecular_generation__b001.jsonl
iclr26_generative_models_diffusion__molecular_generation__b002,generative_models_diffusion,molecular_generation,Molecular / Scientific Generation,21,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__molecular_generation__b002.jsonl
iclr26_generative_models_diffusion__robustness__b001,generative_models_diffusion,robustness,Robustness,25,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__robustness__b001.jsonl
iclr26_generative_models_diffusion__robustness__b002,generative_models_diffusion,robustness,Robustness,25,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__robustness__b002.jsonl
iclr26_generative_models_diffusion__robustness__b003,generative_models_diffusion,robustness,Robustness,7,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__robustness__b003.jsonl
iclr26_generative_models_diffusion__theory__b001,generative_models_diffusion,theory,Theory,25,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__theory__b001.jsonl
iclr26_generative_models_diffusion__theory__b002,generative_models_diffusion,theory,Theory,25,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__theory__b002.jsonl
iclr26_generative_models_diffusion__theory__b003,generative_models_diffusion,theory,Theory,7,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__theory__b003.jsonl
iclr26_optimization_theory_probabilistic__causality__b001,optimization_theory_probabilistic,causality,Causality,5,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__causality__b001.jsonl
iclr26_optimization_theory_probabilistic__domain_adaptation_and_transfer_learning__b001,optimization_theory_probabilistic,domain_adaptation_and_transfer_learning,Domain Adaptation and Transfer Learning,25,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__domain_adaptation_and_transfer_learning__b001.jsonl
iclr26_optimization_theory_probabilistic__domain_adaptation_and_transfer_learning__b002,optimization_theory_probabilistic,domain_adaptation_and_transfer_learning,Domain Adaptation and Transfer Learning,3,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__domain_adaptation_and_transfer_learning__b002.jsonl
iclr26_optimization_theory_probabilistic__game_theory__b001,optimization_theory_probabilistic,game_theory,Game Theory,17,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__game_theory__b001.jsonl
iclr26_optimization_theory_probabilistic__global_optimization__b001,optimization_theory_probabilistic,global_optimization,Global Optimization,5,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__global_optimization__b001.jsonl
iclr26_optimization_theory_probabilistic__interpretability_and_visualization__b001,optimization_theory_probabilistic,interpretability_and_visualization,Interpretability and Visualization,25,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__interpretability_and_visualization__b001.jsonl
iclr26_optimization_theory_probabilistic__interpretability_and_visualization__b002,optimization_theory_probabilistic,interpretability_and_visualization,Interpretability and Visualization,25,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__interpretability_and_visualization__b002.jsonl
iclr26_optimization_theory_probabilistic__interpretability_and_visualization__b003,optimization_theory_probabilistic,interpretability_and_visualization,Interpretability and Visualization,20,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__interpretability_and_visualization__b003.jsonl
iclr26_optimization_theory_probabilistic__large_scale_parallel_and_distributed__b001,optimization_theory_probabilistic,large_scale_parallel_and_distributed,"Large Scale, Parallel and Distributed",25,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__large_scale_parallel_and_distributed__b001.jsonl
iclr26_optimization_theory_probabilistic__large_scale_parallel_and_distributed__b002,optimization_theory_probabilistic,large_scale_parallel_and_distributed,"Large Scale, Parallel and Distributed",10,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__large_scale_parallel_and_distributed__b002.jsonl
iclr26_optimization_theory_probabilistic__learning_for_optimization__b001,optimization_theory_probabilistic,learning_for_optimization,Learning for Optimization,25,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__learning_for_optimization__b001.jsonl
iclr26_optimization_theory_probabilistic__learning_for_optimization__b002,optimization_theory_probabilistic,learning_for_optimization,Learning for Optimization,16,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__learning_for_optimization__b002.jsonl
iclr26_optimization_theory_probabilistic__learning_theory__b001,optimization_theory_probabilistic,learning_theory,Learning Theory,25,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__learning_theory__b001.jsonl
iclr26_optimization_theory_probabilistic__learning_theory__b002,optimization_theory_probabilistic,learning_theory,Learning Theory,25,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__learning_theory__b002.jsonl
iclr26_optimization_theory_probabilistic__learning_theory__b003,optimization_theory_probabilistic,learning_theory,Learning Theory,25,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__learning_theory__b003.jsonl
iclr26_optimization_theory_probabilistic__learning_theory__b004,optimization_theory_probabilistic,learning_theory,Learning Theory,25,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__learning_theory__b004.jsonl
iclr26_optimization_theory_probabilistic__learning_theory__b005,optimization_theory_probabilistic,learning_theory,Learning Theory,25,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__learning_theory__b005.jsonl
iclr26_optimization_theory_probabilistic__learning_theory__b006,optimization_theory_probabilistic,learning_theory,Learning Theory,14,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__learning_theory__b006.jsonl
iclr26_optimization_theory_probabilistic__non_convex__b001,optimization_theory_probabilistic,non_convex,Non-Convex,25,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__non_convex__b001.jsonl
iclr26_optimization_theory_probabilistic__non_convex__b002,optimization_theory_probabilistic,non_convex,Non-Convex,2,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__non_convex__b002.jsonl
iclr26_optimization_theory_probabilistic__optimization__b001,optimization_theory_probabilistic,optimization,Optimization,25,_private/topic_priority/subtopic_batches/batches/iclr26_optimization_theory_probabilistic__optimization__b001.jsonl
