paper_title,reason,paper_link
SymphoMotion: Joint Control of Camera Motion and Object Dynamics for Coherent Video Generation,duplicate_link,https://arxiv.org/abs/2604.03723
TeamHOI: Learning a Unified Policy for Cooperative Human-Object Interactions with Any Team Size,duplicate_title,https://arxiv.org/abs/2603.07988
Text-Driven 3D Hand Motion Generation from Sign Language Data,duplicate_title,https://arxiv.org/abs/2508.15902
Tracking-Guided 4D Generation: Foundation-Tracker Motion Priors for 3D Model Animation,duplicate_title,https://arxiv.org/abs/2512.06158
Learning to Assist: Physics-Grounded Human-Human Control via Multi-Agent Reinforcement Learning,duplicate_title,https://arxiv.org/abs/2603.11346
"RoMo: A Large-Scale, Richly Organized Dataset and Semantic Taxonomy for Human Motion Generation",duplicate_title,https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_RoMo_A_Large-Scale_Richly_Organized_Dataset_and_Semantic_Taxonomy_for_CVPR_2026_paper.html
Learning Long-term Motion Embeddings for Efficient Kinematics Generation,duplicate_title,https://arxiv.org/abs/2604.11737
"Envisioning the Future, One Step at a Time",duplicate_title,https://arxiv.org/abs/2604.09527
Causal Motion Diffusion Models for Autoregressive Motion Generation,duplicate_link,https://arxiv.org/abs/2602.22594
DeX-Portrait: Disentangled and Expressive Portrait Animation via Explicit and Latent Motion Representations,duplicate_title,https://arxiv.org/abs/2512.15524
EgoFlow: Gradient-Guided Flow Matching for Egocentric 6DoF Object Motion Generation,duplicate_title,https://arxiv.org/abs/2604.01421
FloodDiffusion: Tailored Diffusion Forcing for Streaming Motion Generation,duplicate_title,https://arxiv.org/abs/2512.03520
FrankenMotion: Part-level Human Motion Generation and Composition,duplicate_title,https://arxiv.org/abs/2601.10909
Hierarchical Enhancement of Semantic Priors for Disentangled Text-Driven Motion Generation,duplicate_title,https://openaccess.thecvf.com/content/CVPR2026/html/Lv_Hierarchical_Enhancement_of_Semantic_Priors_for_Disentangled_Text-Driven_Motion_Generation_CVPR_2026_paper.html
Interact2Ar: Full-Body Human-Human Interaction Generation via Autoregressive Diffusion Models,duplicate_title,https://openaccess.thecvf.com/content/CVPR2026/html/Ruiz-Ponce_Interact2Ar_Full-Body_Human-Human_Interaction_Generation_via_Autoregressive_Diffusion_Models_CVPR_2026_paper.html
Iterative Closed-Loop Motion Synthesis for Scaling the Capabilities of Humanoid Control,duplicate_title,https://arxiv.org/abs/2602.21599
LLaMo: Scaling Pretrained Language Models for Unified Motion Understanding and Generation with Continuous Autoregressive Tokens,duplicate_title,https://arxiv.org/abs/2602.12370
MoCoDiff: A Controllable Autoregressive Diffusion Model for Expressive Motion Generation,duplicate_title,https://openaccess.thecvf.com/content/CVPR2026/html/Song_MoCoDiff_A_Controllable_Autoregressive_Diffusion_Model_for_Expressive_Motion_Generation_CVPR_2026_paper.html
MoLingo: Motion-Language Alignment for Text-to-Human Motion Generation,duplicate_title,https://openaccess.thecvf.com/content/CVPR2026/html/He_MoLingo_Motion-Language_Alignment_for_Text-to-Human_Motion_Generation_CVPR_2026_paper.html
MotionEdit: Benchmarking and Learning Motion-Centric Image Editing,duplicate_title,https://arxiv.org/abs/2512.10284
MotionMaster: Generalizable Text-Driven Motion Generation and Editing,duplicate_title,https://openaccess.thecvf.com/content/CVPR2026/html/Jiang_MotionMaster_Generalizable_Text-Driven_Motion_Generation_and_Editing_CVPR_2026_paper.html
Open the Motion Door: Atomic Motion Decomposition and Recomposition for Open-Vocabulary Motion Generation,duplicate_title,https://openaccess.thecvf.com/content/CVPR2026/html/Fan_Open_the_Motion_Door_Atomic_Motion_Decomposition_and_Recomposition_for_CVPR_2026_paper.html
"OpenT2M: No-frill Motion Generation with Open-source, Large-scale, High-quality Data",duplicate_title,https://arxiv.org/abs/2603.18623
PAMotion: Physics-Aware Motion Generation for Full-Body Interaction with Multiple Objects,duplicate_title,https://openaccess.thecvf.com/content/CVPR2026/html/Di_PAMotion_Physics-Aware_Motion_Generation_for_Full-Body_Interaction_with_Multiple_Objects_CVPR_2026_paper.html
RigMo: Unifying Rig and Motion Learning for Generative Animation,duplicate_title,https://arxiv.org/abs/2601.06378
SMRABooth: Subject and Motion Representation Alignment for Customized Video Generation,duplicate_title,https://arxiv.org/abs/2512.12193
Superman: Unifying Skeleton and Vision for Human Motion Perception and Generation,duplicate_title,https://arxiv.org/abs/2602.02401
Towards Decompositional Human Motion Generation with Energy-Based Diffusion Models,duplicate_title,https://arxiv.org/abs/2512.22324
Towards Highly-Constrained Human Motion Generation with Retrieval-Guided Diffusion Noise Optimization,duplicate_title,https://arxiv.org/abs/2605.08054
ViHOI: Human-Object Interaction Synthesis with Visual Priors,duplicate_title,https://arxiv.org/abs/2603.24383
Cross-Axis Feature Fusion with Joint-Wise Motion Difference Prediction for Text-Based 3D Human Motion Editing,duplicate_title,https://openaccess.thecvf.com/content/CVPR2026/html/Han_Cross-Axis_Feature_Fusion_with_Joint-Wise_Motion_Difference_Prediction_for_Text-Based_CVPR_2026_paper.html
RAM: Recover Any 3D Human Motion in-the-Wild,duplicate_title,https://arxiv.org/abs/2603.19929
Sketch2Colab: Sketch-Conditioned Multi-Human Animation via Controllable Flow Distillation,duplicate_link,https://arxiv.org/abs/2603.02190
FlowMotion: Training-Free Flow Guidance for Video Motion Transfer,duplicate_title,https://arxiv.org/abs/2603.06289
Let Your Image Move with Your Motion! -- Implicit Multi-Object Multi-Motion Transfer,duplicate_title,https://arxiv.org/abs/2603.01000
Omni-Supervised Motion Editing: Balancing Change and Invariance through Positive-Negative Learning,duplicate_title,https://openaccess.thecvf.com/content/CVPR2026/html/Shi_Omni-Supervised_Motion_Editing_Balancing_Change_and_Invariance_through_Positive-Negative_Learning_CVPR_2026_paper.html
