rank,score,exists_in_paper_list,title,paper_link,downloaded_url,pdf_private_path,reasons
32,98,False,Learning Physics-Grounded 4D Dynamics with Neural Gaussian Force Fields,https://openreview.net/forum?id=KxvboPqav6,https://openreview.net/pdf?id=KxvboPqav6,_private/resmax_downloads/pdfs/ICLR_2026/Learning_Physics-Grounded_4D_Dynamics_with_Neural_Gaussian_Force_Fields__00adafdb54c4.pdf,dynamic_4d;explicit_4d;representation
33,98,False,ReconViaGen: Towards Accurate Multi-view 3D Object Reconstruction via Generation,https://openreview.net/forum?id=z0QLeooEEf,https://openreview.net/pdf?id=z0QLeooEEf,_private/resmax_downloads/pdfs/ICLR_2026/ReconViaGen_Towards_Accurate_Multi-view_3D_Object_Reconstruction_via_Generation__bd913d15b45e.pdf,3d4d_generation;reconstruction;visual_spatial_3d
34,98,False,SesaHand: Enhancing 3D Hand Reconstruction via Controllable Generation with Semantic and Structural Alignment,https://openreview.net/forum?id=sKMgGQQy7g,https://openreview.net/pdf?id=sKMgGQQy7g,_private/resmax_downloads/pdfs/ICLR_2026/SesaHand_Enhancing_3D_Hand_Reconstruction_via_Controllable_Generation_with_Seman__96a366a50afa.pdf,3d4d_generation;reconstruction;visual_spatial_3d
35,98,False,SkyEvents: A Large-Scale Event-enhanced UAV Dataset for Robust 3D Scene Reconstruction,https://openreview.net/forum?id=dxHPqQindP,https://openreview.net/pdf?id=dxHPqQindP,_private/resmax_downloads/pdfs/ICLR_2026/SkyEvents_A_Large-Scale_Event-enhanced_UAV_Dataset_for_Robust_3D_Scene_Reconstru__5f0daf32f322.pdf,3d4d_generation;reconstruction;visual_spatial_3d
36,96,True,Unified 3D Scene Understanding Through Physical World Modeling,https://openreview.net/forum?id=NQq9JLMfNN,https://openreview.net/pdf?id=NQq9JLMfNN,_private/resmax_downloads/pdfs/ICLR_2026/Unified_3D_Scene_Understanding_Through_Physical_World_Modeling__cb9ef80ee04c.pdf,3d4d_generation;visual_spatial_3d;world_model
37,91,False,A^2TG: Adaptive Anisotropic Textured Gaussians for Efficient 3D Scene Representation,https://openreview.net/forum?id=EPN5MU4liR,https://openreview.net/pdf?id=EPN5MU4liR,_private/resmax_downloads/pdfs/ICLR_2026/A_2TG_Adaptive_Anisotropic_Textured_Gaussians_for_Efficient_3D_Scene_Representation__ICLR_2026_a_2tg_adaptive_anisotropic_textured_gaussians_for_efficient_3d_scene_representation.pdf,3d4d_generation;representation;visual_spatial_3d
38,91,False,EgoHandICL: Egocentric 3D Hand Reconstruction with In-Context Learning,https://openreview.net/forum?id=nwjy9BeorI,https://openreview.net/pdf?id=nwjy9BeorI,_private/resmax_downloads/pdfs/ICLR_2026/EgoHandICL_Egocentric_3D_Hand_Reconstruction_with_In-Context_Learning__e95df01ae740.pdf,reconstruction;representation;visual_spatial_3d
39,91,False,PA3FF:Learning Part-Aware Dense 3D Feature Field For Generalizable Articulated Object Manipulation,https://openreview.net/forum?id=qXfRXfAHOK,https://openreview.net/pdf?id=qXfRXfAHOK,_private/resmax_downloads/pdfs/ICLR_2026/PA3FF_Learning_Part-Aware_Dense_3D_Feature_Field_For_Generalizable_Articulated_O__591e4e474026.pdf,3d4d_generation;representation;visual_spatial_3d
40,90,False,Dynamic Novel View Synthesis in High Dynamic Range,https://openreview.net/forum?id=10iBNwPtl2,https://openreview.net/pdf?id=10iBNwPtl2,_private/resmax_downloads/pdfs/ICLR_2026/Dynamic_Novel_View_Synthesis_in_High_Dynamic_Range__c7124ba0dcb7.pdf,dynamic_4d;rendering_nvs;visual_spatial_3d
41,89,False,ComGS: Efficient 3D Object-Scene Composition via Surface Octahedral Probes,https://openreview.net/forum?id=yXiSPBMrTT,https://openreview.net/pdf?id=yXiSPBMrTT,_private/resmax_downloads/pdfs/ICLR_2026/ComGS_Efficient_3D_Object-Scene_Composition_via_Surface_Octahedral_Probes__278056e7b7f4.pdf,3d4d_generation;3d_perception_geometry;visual_spatial_3d
42,88,False,3DGEER: 3D Gaussian Rendering Made Exact and Efficient for Generic Cameras,https://openreview.net/forum?id=4voMNlRWI7,https://openreview.net/pdf?id=4voMNlRWI7,_private/resmax_downloads/pdfs/ICLR_2026/3DGEER_3D_Gaussian_Rendering_Made_Exact_and_Efficient_for_Generic_Cameras__ICLR_2026_3dgeer_3d_gaussian_rendering_made_exact_and_efficient_for_generic_cameras.pdf,3d_gaussian_splatting;rendering_nvs
43,88,False,Augmented Radiance Field: A General Framework for Enhanced Gaussian Splatting,https://openreview.net/forum?id=IzlaRUHncO,https://openreview.net/pdf?id=IzlaRUHncO,_private/resmax_downloads/pdfs/ICLR_2026/Augmented_Radiance_Field_A_General_Framework_for_Enhanced_Gaussian_Splatting__a448d65dd9ee.pdf,3d_gaussian_splatting;rendering_nvs
44,88,False,Horseshoe Splatting: Handling Structural Sparsity for Uncertainty-Aware Gaussian-Splatting Radiance Field Rendering,https://openreview.net/forum?id=NHuyk9KsG6,https://openreview.net/pdf?id=NHuyk9KsG6,_private/resmax_downloads/pdfs/ICLR_2026/Horseshoe_Splatting_Handling_Structural_Sparsity_for_Uncertainty-Aware_Gaussian-__e32e9c64d698.pdf,3d_gaussian_splatting;rendering_nvs
45,87,False,ShapeGen4D: Towards High Quality 4D Shape Generation from Videos,https://openreview.net/forum?id=r9AJisFLLo,https://openreview.net/pdf?id=r9AJisFLLo,_private/resmax_downloads/pdfs/ICLR_2026/ShapeGen4D_Towards_High_Quality_4D_Shape_Generation_from_Videos__3a1c93476b93.pdf,3d4d_generation;explicit_4d
46,87,False,UFO-4D: Unposed Feedforward 4D Reconstruction from Two Images,https://openreview.net/forum?id=8gDDWqO59H,https://openreview.net/pdf?id=8gDDWqO59H,_private/resmax_downloads/pdfs/ICLR_2026/UFO-4D_Unposed_Feedforward_4D_Reconstruction_from_Two_Images__f4891bdea6ab.pdf,explicit_4d;reconstruction
47,84,False,MoCa: Modeling Object Consistency for 3D Camera Control in Video Generation,https://openreview.net/forum?id=DZcpnudp7f,https://openreview.net/pdf?id=DZcpnudp7f,_private/resmax_downloads/pdfs/ICLR_2026/MoCa_Modeling_Object_Consistency_for_3D_Camera_Control_in_Video_Generation__fe63ef4de104.pdf,3d4d_generation;dynamic_4d;visual_spatial_3d
48,84,False,ReST-KV: Robust KV Cache Eviction with Layer-wise Output Reconstruction and Spatial-Temporal Smoothing,https://openreview.net/forum?id=PhEHuo7oMm,https://openreview.net/pdf?id=PhEHuo7oMm,_private/resmax_downloads/pdfs/ICLR_2026/ReST-KV_Robust_KV_Cache_Eviction_with_Layer-wise_Output_Reconstruction_and_Spati__e9d64aa15f90.pdf,dynamic_4d;reconstruction;visual_spatial_3d
